ZIP,LAT,LNG
27006,35.939004,-80.440264
27007,36.389720000000004,-80.58846700000001
27009,36.230931,-80.07865699999999
27011,36.216506,-80.69851700000001
27012,36.002457,-80.37929100000001
27013,35.750492,-80.700075
27014,35.810049,-80.55574399999999
27016,36.447462,-80.218816
27017,36.382016,-80.756218
27018,36.197106,-80.518235
27019,36.286885999999996,-80.237725
27020,36.102925,-80.80405400000001
27021,36.319389,-80.338592
27022,36.512166,-80.215604
27023,36.089784,-80.456712
27024,36.519237,-80.841179
27025,36.379051000000004,-79.969387
27027,36.441759000000005,-79.988878
27028,35.922771000000004,-80.580443
27030,36.489802000000005,-80.629164
27040,36.169312,-80.393045
27041,36.425262,-80.487201
27042,36.352819000000004,-80.064203
27043,36.337246,-80.451911
27045,36.234398,-80.29607
27046,36.502219000000004,-80.078264
27047,36.314134,-80.569112
27048,36.48259,-79.917692
27050,36.226442,-80.409707
27051,36.195946,-80.153401
27052,36.320755,-80.150453
27053,36.474276,-80.34785
27054,35.79254,-80.597888
27055,36.113864,-80.631592
27101,36.11085,-80.20043000000001
27103,36.05823,-80.321496
27104,36.093687,-80.323532
27105,36.163377000000004,-80.233787
27106,36.14391,-80.323157
27107,36.013158000000004,-80.17549100000001
27109,36.133928000000004,-80.277635
27110,36.089259999999996,-80.22496
27127,36.020708,-80.27981700000001
27201,36.034172,-79.484829
27203,35.728464,-79.786527
27205,35.638259000000005,-79.850866
27207,35.607613,-79.390517
27208,35.56323,-79.542928
27209,35.343102,-79.753442
27212,36.480967,-79.27985600000001
27214,36.206055,-79.671126
27215,36.027099,-79.491799
27217,36.190945,-79.380185
27229,35.265632000000004,-79.775733
27231,36.207715,-79.16941899999999
27233,35.892511999999996,-79.70498
27235,36.089271999999994,-80.01254499999999
27239,35.60066,-80.090226
27242,35.329657,-79.648955
27243,36.066916,-79.198148
27244,36.215377000000004,-79.48637
27248,35.783296,-79.71633100000001
27249,36.154140999999996,-79.582389
27252,35.566614,-79.349758
27253,35.966165999999994,-79.347351
27258,36.010802000000005,-79.291198
27260,35.954467,-79.987882
27262,35.963132,-80.04165400000001
27263,35.911522,-79.936799
27265,36.012305,-80.03094899999999
27278,36.090195,-79.086929
27281,35.187442,-79.62511500000001
27282,35.988957,-79.928282
27283,35.951474,-79.635418
27284,36.116121,-80.08186500000001
27288,36.497645,-79.750015
27291,36.418316,-79.168428
27292,35.738325,-80.20754699999999
27295,35.871767,-80.31018
27298,35.885115,-79.567545
27299,35.752324,-80.386149
27301,36.11351,-79.66565600000001
27302,36.14203,-79.266181
27305,36.526804999999996,-79.233755
27306,35.225229,-79.980186
27310,36.174071999999995,-79.992233
27311,36.479651000000004,-79.472563
27312,35.756405,-79.209789
27313,35.930899,-79.75824200000001
27314,36.310359999999996,-79.19625
27315,36.51019,-79.403541
27316,35.697013,-79.625793
27317,35.840737,-79.802499
27320,36.341643,-79.657526
27325,35.463087,-79.584091
27326,36.464116,-79.556845
27330,35.514408,-79.195453
27332,35.384704,-79.137215
27340,35.945873,-79.317167
27341,35.523759000000005,-79.695909
27343,36.503728,-79.09147800000001
27344,35.722265,-79.43369100000001
27349,35.901313,-79.416062
27350,35.808253,-79.88821300000001
27355,35.794965999999995,-79.574007
27356,35.436865000000004,-79.804272
27357,36.2666,-79.970625
27358,36.228232,-79.880061
27360,35.86058,-80.099288
27370,35.80928,-79.978025
27371,35.406855,-79.968144
27376,35.239166,-79.53506
27377,36.042675,-79.608729
27379,36.374099,-79.334513
27401,36.069140000000004,-79.765159
27403,36.065973,-79.824383
27405,36.114921,-79.73703
27406,36.000541999999996,-79.764677
27407,36.008599,-79.87816
27408,36.103667,-79.813712
27409,36.103729,-79.93983
27410,36.117523,-79.894239
27455,36.187509000000006,-79.817677
27501,35.484941,-78.68457
27502,35.71525,-78.920992
27503,36.152947999999995,-78.884485
27504,35.400309,-78.51827800000001
27505,35.423475,-79.001029
27507,36.513542,-78.56949399999999
27508,35.956874,-78.248144
27509,36.11864,-78.781001
27510,35.915783000000005,-79.082604
27511,35.763414000000004,-78.788528
27513,35.802102000000005,-78.802719
27514,35.96674,-79.049419
27516,35.906197,-79.154855
27517,35.850468,-79.023121
27518,35.731139,-78.773206
27519,35.808578000000004,-78.883326
27520,35.619732,-78.477026
27521,35.412121,-78.655865
27522,36.105618,-78.675202
27523,35.773618,-78.956926
27524,35.394563,-78.38759499999999
27525,36.136109000000005,-78.45809799999999
27526,35.54401,-78.829824
27527,35.653948,-78.381715
27529,35.655625,-78.584906
27530,35.381174,-78.06251400000001
27531,35.342994,-77.964411
27534,35.373478000000006,-77.896666
27536,36.326731,-78.409125
27537,36.371801,-78.397878
27539,35.676536999999996,-78.81344399999999
27540,35.615062,-78.891559
27541,36.264862,-79.083217
27542,35.618293,-78.136838
27544,36.199729999999995,-78.446559
27545,35.78372,-78.478238
27546,35.385317,-78.862107
27549,36.101663,-78.232233
27551,36.432843,-78.05017
27553,36.4865,-78.30279300000001
27555,35.562683,-78.204133
27556,36.408390000000004,-78.314748
27557,35.779135,-78.198512
27559,35.628213,-79.102818
27560,35.857892,-78.827698
27562,35.640448,-78.990037
27563,36.41571,-78.229388
27565,36.361651,-78.64895200000001
27568,35.510124,-78.245099
